Threshold,Overall_Accuracy,Participant 1,Participant 2,Participant 3,Participant 4
0.31,44.19753086419753,45.26315789473684,37.278106508875744,50.75757575757576,40.106951871657756
0.32,44.32098765432099,45.26315789473684,37.278106508875744,51.13636363636363,40.106951871657756
0.33,44.44444444444444,45.78947368421053,37.278106508875744,51.13636363636363,40.106951871657756
0.34,44.44444444444444,45.78947368421053,37.278106508875744,51.13636363636363,40.106951871657756
0.35000000000000003,44.81481481481481,46.31578947368421,37.278106508875744,51.515151515151516,40.64171122994652
0.36,45.18518518518518,47.368421052631575,37.8698224852071,51.515151515151516,40.64171122994652
0.37,45.308641975308646,47.368421052631575,37.8698224852071,51.89393939393939,40.64171122994652
0.38,45.67901234567901,47.89473684210526,38.46153846153847,52.27272727272727,40.64171122994652
0.39,45.80246913580247,47.89473684210526,38.46153846153847,52.65151515151515,40.64171122994652
0.4,46.04938271604938,48.94736842105264,38.46153846153847,52.65151515151515,40.64171122994652
0.41000000000000003,46.2962962962963,50.0,38.46153846153847,52.65151515151515,40.64171122994652
0.42,46.543209876543216,50.0,38.46153846153847,53.40909090909091,40.64171122994652
0.43,46.913580246913575,50.526315789473685,39.053254437869825,53.78787878787878,40.64171122994652
0.44,47.03703703703704,51.05263157894737,39.053254437869825,53.78787878787878,40.64171122994652
0.45,47.40740740740741,51.578947368421055,39.053254437869825,54.54545454545454,40.64171122994652
0.46,47.53086419753087,51.578947368421055,39.64497041420118,54.54545454545454,40.64171122994652
0.47000000000000003,47.901234567901234,52.10526315789473,40.23668639053255,54.54545454545454,41.17647058823529
0.48,48.39506172839506,52.10526315789473,41.42011834319527,54.92424242424242,41.711229946524064
0.49,48.76543209876543,52.10526315789473,42.01183431952663,54.92424242424242,42.780748663101605
0.5,49.382716049382715,52.10526315789473,43.786982248520715,55.3030303030303,43.31550802139038
0.51,50.24691358024691,54.21052631578947,44.37869822485207,55.68181818181818,43.85026737967914
0.52,50.98765432098765,54.736842105263165,45.562130177514796,56.439393939393945,44.38502673796791
