Participant,Hand,Expected Gesture,Predicted Gesture,Confidence,File,Correct
Finch,Right,Unknown Gesture,Hello,0.9999995231628418,Unknown_Right_9.csv,False
Finch,Left,Yes,Yes,0.9996548891067505,Finch-Yes_Left_2025-04-04_13-23-07.csv,True
Finch,Left,Yes,Yes,0.9998799562454224,Finch-Yes_Left_2025-04-04_13-23-08.csv,True
Finch,Left,Yes,Yes,0.9999009370803833,Finch-Yes_Left_2025-04-04_13-23-09.csv,True
Finch,Left,Yes,Yes,0.9999179840087891,Finch-Yes_Left_2025-04-04_13-23-10.csv,True
Finch,Right,Yes,Yes,0.9141653776168823,Finch-Yes_Right_2025-04-04_13-33-40.csv,True
Finch,Right,Yes,Yes,0.9082419276237488,Finch-Yes_Right_2025-04-04_13-33-41.csv,True
Finch,Right,Yes,Yes,0.9912205338478088,Finch-Yes_Right_2025-04-04_13-33-42.csv,True
Finch,Right,Yes,Yes,0.9876888990402222,Finch-Yes_Right_2025-04-04_13-33-43.csv,True
Finch,Right,Yes,Yes,0.9833552241325378,Finch-Yes_Right_2025-04-04_13-33-44.csv,True
Mostafa,Left,Goodbye,Hello,0.9932966828346252,Mostafa-Goodbye_Left_2025-04-04_13-05-06.csv,False
Mostafa,Left,Goodbye,Hello,0.9626554846763611,Mostafa-Goodbye_Left_2025-04-04_13-05-07.csv,False
Mostafa,Left,Goodbye,Hello,0.9521872997283936,Mostafa-Goodbye_Left_2025-04-04_13-05-08.csv,False
Mostafa,Left,Goodbye,Hello,0.9535611271858215,Mostafa-Goodbye_Left_2025-04-04_13-05-09.csv,False
Mostafa,Left,Goodbye,Hello,0.9561225175857544,Mostafa-Goodbye_Left_2025-04-04_13-05-10.csv,False
Mostafa,Right,Goodbye,Goodbye,0.9999827146530151,Mostafa-Goodbye_Right_2025-04-04_13-04-02.csv,True
Mostafa,Right,Goodbye,Goodbye,0.9999834299087524,Mostafa-Goodbye_Right_2025-04-04_13-04-03.csv,True
Mostafa,Right,Goodbye,Goodbye,0.9999818801879883,Mostafa-Goodbye_Right_2025-04-04_13-04-04.csv,True
Mostafa,Right,Goodbye,Goodbye,0.9999821186065674,Mostafa-Goodbye_Right_2025-04-04_13-04-05.csv,True
Mostafa,Right,Goodbye,Goodbye,0.9999799728393555,Mostafa-Goodbye_Right_2025-04-04_13-04-06.csv,True
Mostafa,Left,Hello,Hello,0.9999226331710815,Mostafa-Hello-Left_Left_2025-04-04_12-55-56.csv,True
Mostafa,Left,Hello,Hello,0.999907374382019,Mostafa-Hello-Left_Left_2025-04-04_12-55-57.csv,True
Mostafa,Right,Hello,Hello,0.9809997081756592,Mostafa-Hello-Right_Right_2025-04-04_12-55-19.csv,True
Mostafa,Right,Hello,Hello,0.9725804924964905,Mostafa-Hello-Right_Right_2025-04-04_12-55-20.csv,True
